Location,Price,Beds,Area
"PHAF Officers Residencia, Kuri Road",4.7 Crore,3,8 Marla
"Islamabad Square, MPCHS - Multi Gardens",56 Lakh,1,1.9 Marla
"Islamabad Square, MPCHS - Multi Gardens",56 Lakh,1,1.9 Marla
"B-17, Islamabad",62.4 Lakh,1,2.1 Marla
"B-17, Islamabad",56.55 Lakh,1,1.9 Marla
"B-17, Islamabad",61.1 Lakh,1,2.1 Marla
"G-11/4, G-11",2.55 Crore,2,4.2 Marla
"G-13/1, G-13",3.25 Crore,4,4 Marla
"Clock Tower, H-13",52 Lakh,1,1.8 Marla
"Clock Tower, H-13",52 Lakh,1,1.8 Marla
"Clock Tower, H-13",50.7 Lakh,1,1.7 Marla
"B-17, Islamabad",2.95 Crore,4,7 Marla
"Top City 1, Islamabad",64 Lakh,1,2.7 Marla
"Faisal Town - F-18, Islamabad",1.75 Crore,2,4.7 Marla
"G-15 Markaz, G-15",82 Lakh,3,4 Marla
"Diplomatic Enclave, Islamabad",7.25 Crore,2,6.4 Marla
"Clock Tower, H-13",52 Lakh,1,1.8 Marla
"Clock Tower, H-13",50.7 Lakh,1,1.7 Marla
"MPCHS - Block C1, MPCHS - Multi Gardens",3 Crore,4,8 Marla
"Diamond Mall & Residency, Gulberg Greens",85 Lakh,1,2.4 Marla
"G-16/4, G-16",5.5 Crore,3,1 Kanal
"Gulberg Arena Mall, Gulberg Greens",1.99 Crore,2,6.7 Marla
"Ghauri Town Phase 4 C2, Ghauri Town",1.09 Crore,2,5 Marla
"Islamabad Square, MPCHS - Multi Gardens",56 Lakh,1,1.9 Marla
"B-17, Islamabad",56.55 Lakh,1,1.9 Marla
"B-17, Islamabad",1.22 Crore,2,4.2 Marla
"B-17, Islamabad",1.53 Crore,3,5.2 Marla
"MPCHS - Block B, MPCHS - Multi Gardens",56.55 Lakh,1,1.9 Marla
"Defence Residency, DHA Defence Phase 2",95 Lakh,2,5.1 Marla
"G-13, Islamabad",4 Crore,4,4 Marla
"Madina Tower, E-11",1.9 Crore,3,6.2 Marla
"Clock Tower, H-13",52 Lakh,1,1.8 Marla
"Clock Tower, H-13",50.7 Lakh,1,1.7 Marla
"Bahria Enclave, Bahria Town",2.1 Crore,3,11.2 Marla
"The Gate Mall & Apartments, Faisal Town - F-18",1.05 Crore,2,5.8 Marla
"I-12/1, I-12",42.7 Lakh,2,3.2 Marla
"Jinnah Gardens, FECHS",2.15 Crore,2,7 Marla
"G-8 Markaz, G-8",2.25 Crore,2,5.2 Marla
"DHA Phase 1 - Sector F, DHA Defence Phase 1",4.25 Crore,4,12 Marla
"I-12/1, I-12",49.83 Lakh,2,3.9 Marla
"I-10, Islamabad",3.35 Crore,4,6 Marla
"H-13, Islamabad",59.8 Lakh,1,2 Marla
"Clock Tower, H-13",59.8 Lakh,1,2 Marla
"Ghauri Town Phase 4 C2, Ghauri Town",1.63 Crore,4,5 Marla
"H-13, Islamabad",2.5 Crore,2,5.1 Marla
"The Centaurus, F-8",5.8 Crore,1,5.1 Marla
"Gulberg Rabi Center, Gulberg",66.88 Lakh,1,2.4 Marla
"Goldcrest Highlife, DHA Defence Phase 2",1.35 Crore,2,5.8 Marla
"Gulberg Residencia - Block I, Gulberg Residencia",3.95 Crore,4,7 Marla
"Defence Residency, DHA Defence Phase 2",62 Lakh,1,2.7 Marla
"I-16/3, I-16",45 Lakh,2,4.1 Marla
"Goldcrest Views, DHA Defence Phase 2",45.75 Lakh,1,2.1 Marla
"MPCHS - Multi Gardens, B-17",3 Crore,4,8 Marla
"Bani Gala, Islamabad",2.15 Crore,4,10 Marla
"MPCHS - Multi Gardens, B-17",1.67 Crore,4,5 Marla
"MPCHS - Multi Gardens, B-17",1.73 Crore,4,5 Marla
"DHA Defence Phase 5, DHA Defence",1.02 Crore,2,5.3 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.4 Crore,3,5 Marla
"Bahria Enclave - Sector I, Bahria Enclave",2.15 Crore,4,5 Marla
"DHA Defence Phase 5, DHA Defence",82.95 Lakh,1,4.2 Marla
"Clock Tower, H-13",52 Lakh,1,1.8 Marla
"E-11/2, E-11",2.5 Crore,3,6.6 Marla
"Bahria Enclave, Bahria Town",2.85 Crore,3,5 Marla
"MPCHS - Block A, MPCHS - Multi Gardens",70 Lakh,2,3 Marla
"B-17, Islamabad",52 Lakh,2,3.4 Marla
"F-11 Markaz, F-11",2.44 Crore,2,7.8 Marla
"Clock Tower, H-13",52 Lakh,1,1.8 Marla
"Clock Tower, H-13",67.86 Lakh,1,2.3 Marla
"E-11/4, E-11",1.7 Crore,3,10.4 Marla
"Capital Resorts, E-11/4",1.05 Crore,2,4 Marla
